X	yexact	yheun     %errorheun    yeuler	  %erroreuler
0.0000	1.0000	1.0000	  0.0000        1.0000    0.0000
0.1000	1.7540	1.7559	  0.1112        1.8500    5.4762
0.2000	2.3312	2.3350	  0.1630        2.5118    7.7471
0.3000	2.7540	2.7595	  0.2015        3.0082    9.2322
0.4000	3.0432	3.0504	  0.2366        3.3608    10.4364
0.5000	3.2188	3.2275	  0.2718        3.5900    11.5340
0.6000	3.2992	3.3094	  0.3092        3.7150    12.6031
0.7000	3.3019	3.3135	  0.3498        3.7538    13.6843
0.8000	3.2432	3.2560	  0.3947        3.7232    14.8002
0.9000	3.1379	3.1519	  0.4446        3.6388    15.9611
1.0000	3.0000	3.0150	  0.5000        3.5150    17.1667
1.1000	2.8420	2.8579	  0.5612        3.3650    18.4046
1.2000	2.6752	2.6920	  0.6280        3.2008    19.6471
1.3000	2.5099	2.5275	  0.6992        3.0332    20.8470
1.4000	2.3552	2.3734	  0.7728        2.8718    21.9344
1.5000	2.2188	2.2375	  0.8451        2.7250    22.8169
1.6000	2.1072	2.1264	  0.9112        2.6000    23.3865
1.7000	2.0260	2.0455	  0.9650        2.5028    23.5371
1.8000	1.9792	1.9990	  1.0004        2.4382    23.1912
1.9000	1.9700	1.9899	  1.0127        2.4098    22.3280
2.0000	2.0000	2.0200	  1.0000        2.4200    21.0000
2.1000	2.0699	2.0899	  0.9638        2.4700    19.3266
2.2000	2.1792	2.1990	  0.9086        2.5598    17.4651
2.3000	2.3259	2.3455	  0.8405        2.6882    15.5743
2.4000	2.5072	2.5264	  0.7658        2.8528    13.7843
2.5000	2.7188	2.7375	  0.6897        3.0500    12.1839
2.6000	2.9552	2.9734	  0.6159        3.2750    10.8216
2.7000	3.2099	3.2275	  0.5467        3.5218    9.7151
2.8000	3.4752	3.4920	  0.4834        3.7832    8.8628
2.9000	3.7419	3.7579	  0.4262        4.0508    8.2537
3.0000	4.0000	4.0150	  0.3750        4.3150    7.8750
3.1000	4.2379	4.2519	  0.3292        4.5650    7.7172
3.2000	4.4432	4.4560	  0.2881        4.7888    7.7782
3.3000	4.6020	4.6135	  0.2510        4.9732    8.0672
3.4000	4.6992	4.7094	  0.2171        5.1038    8.6100
3.5000	4.7188	4.7275	  0.1854        5.1650    9.4570
3.6000	4.6432	4.6504	  0.1551        5.1400    10.6995
3.7000	4.4539	4.4595	  0.1246        5.0108    12.5024
3.8000	4.1312	4.1350	  0.0920        4.7582    15.1772
3.9000	3.6539	3.6559	  0.0534        4.3618    19.3722
4.0000	3.0000	3.0000	  0.0000        3.8000    26.6667
4.1000	2.1460	2.1439	  0.0955        3.0500    42.1282
4.2000	1.0672	1.0630	  0.3936        2.0878    95.6334
4.3000	-0.2621	-0.2685	  2.4614        0.8882    438.9429
4.4000	-1.8688	-1.8776	  0.4709        -0.5752    69.2209
