   x          yeu        yhe       yr-k       zeu        zhe       zr-k       yerre-r    yerrh-r    zerre-r    zerrh-r
0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
0.080000   0.080000   0.076430   0.076552  -0.080000  -0.082685  -0.082858   4.504457   0.159441   3.449250   0.209263
0.160000   0.152859   0.145057   0.145290  -0.165369  -0.169725  -0.170079   5.209548   0.160845   2.769340   0.208052
0.240000   0.217233   0.204722   0.205056  -0.254058  -0.259184  -0.259724   5.938423   0.162817   2.181575   0.207612
0.320000   0.272053   0.254612   0.255033  -0.344135  -0.349328  -0.350053   6.673824   0.164952   1.690701   0.207092
0.400000   0.316615   0.294309   0.294800  -0.433905  -0.438696  -0.439601   7.399649   0.166759   1.295680   0.205739
0.480000   0.350615   0.323794   0.324338  -0.521977  -0.526121  -0.527192   8.101676   0.167717   0.989121   0.203017
0.560000   0.374166   0.343429   0.344004  -0.607288  -0.610712  -0.611928   8.767713   0.167326   0.758219   0.198671
0.640000   0.387764   0.353902   0.354487  -0.689079  -0.691810  -0.693146   9.387223   0.165136   0.586757   0.192720
0.720000   0.392235   0.356164   0.356737  -0.766839  -0.768936  -0.770364   9.950643   0.160746   0.457577   0.185410
0.800000   0.388659   0.351350   0.351891  -0.840239  -0.841738  -0.843232  10.448622   0.153805   0.354897   0.177120
0.880000   0.378287   0.340703   0.341194  -0.909063  -0.909954  -0.911487  10.871404   0.144002   0.266001   0.168277
0.960000   0.362462   0.325503   0.325930  -0.973162  -0.973385  -0.974938  11.208527   0.131071   0.182108   0.159280
1.040000   0.342539   0.306998   0.307351  -1.032424  -1.031886  -1.033441  11.448925   0.114820   0.098423   0.150445
1.120000   0.319820   0.286351   0.286624  -1.086758  -1.085362  -1.086905  11.581489   0.095178   0.013554   0.141990
1.200000   0.295496   0.264599   0.264791  -1.136099  -1.133767  -1.135289  11.596128   0.072268   0.071423   0.134032
1.280000   0.270609   0.242618   0.242731  -1.180419  -1.177112  -1.178604  11.485364   0.046498   0.154022   0.126610
1.360000   0.246018   0.221105   0.221147  -1.219731  -1.215460  -1.216916  11.246471   0.018660   0.231291   0.119705
1.440000   0.222382   0.200574   0.200554  -1.254099  -1.248925  -1.250341  10.884090   0.009984   0.300540   0.113272
1.520000   0.200160   0.181351   0.181283  -1.283638  -1.277664  -1.279036  10.413085   0.037653   0.359786   0.107256
1.600000   0.179611   0.163590   0.163489  -1.308512  -1.301871  -1.303195   9.861189   0.062059   0.407951   0.101608
1.680000   0.160808   0.147283   0.147164  -1.328920  -1.321761  -1.323035   9.270926   0.080489   0.444842   0.096291
1.760000   0.143660   0.132280   0.132161  -1.345093  -1.337565  -1.338787   8.700532   0.089937   0.471014   0.091279
1.840000   0.127933   0.118313   0.118210  -1.357272  -1.349518  -1.350687   8.224472   0.087200   0.487560   0.086559
1.920000   0.113275   0.105019   0.104947  -1.365706  -1.357851  -1.358967   7.936004   0.068771   0.495896   0.082125
2.000000   0.099247   0.091959   0.091931  -1.370639  -1.362790  -1.363853   7.957632   0.030236   0.497580   0.077974
