x	              Exact	         Finite Differnce       Shooting
0.000000            40.000000            40.000000            40.000000
1.000000            52.811705            52.814089            52.812186
2.000000            65.951800            65.956319            65.952660
3.000000            79.551796            79.558112            79.552936
4.000000            93.747807            93.755486            93.749125
5.000000           108.681911           108.690416           108.683303
6.000000           124.503573           124.512249           124.504931
7.000000           141.371141           141.379205           141.372350
8.000000           159.453433           159.459952           159.454366
9.000000           178.931422           178.935300           178.931940
10.000000           200.000050           200.000000           200.000000
